,name,code,per,roe,per_sort,roe_sort,sort
2335,양지사,030960,1.28,93.94,6,1,7
508,이글루시큐리티,067920,10.72,9.97,48,5,53
2074,제룡산업,147830,10.3,9.62,30,28,58
1391,삼영엠텍,054540,10.18,9.14,23,53,76
1995,서플러스글로벌,140070,10.12,8.98,18,63,81
121,대한약품,023910,11.37,9.97,88,6,94
602,HDC아이콘트롤스,039570,11.03,9.42,68,33,101
195,오공,045060,11.09,9.29,71,42,113
454,삼진,032750,10.16,8.36,20,97,117
2254,SGC이테크건설,016250,1.16,79.74,5,120,125
278,희림,037440,11.07,8.97,70,64,134
2417,포시에스,189690,12.0,9.79,127,14,141
2341,에스텍,069510,10.11,7.84,17,133,150
915,LIG넥스원,079550,11.59,8.86,92,71,163
996,퍼시스,016800,10.01,7.53,13,152,165
1312,한솔테크닉스,004710,12.43,9.7,148,21,169
2187,씨에스윈드,112610,104.75,8.19,62,111,173
1424,에스피지,058610,12.9,9.71,171,19,190
1225,LG,003550,10.5,7.5,38,157,195
366,태영건설,009410,1.4,61.96,7,196,203
1921,한국단자공업,025540,11.21,7.84,80,131,211
845,인탑스,049070,12.84,8.95,168,66,234
510,이녹스,088390,11.82,7.54,104,150,254
27,두산인프라코어,042670,10.27,6.47,27,234,261
1462,이상네트웍스,080010,10.22,6.38,24,244,268
1343,게임빌,063080,12.01,7.68,129,144,273
1003,한미글로벌,053690,12.31,7.84,144,132,276
773,성우테크론,045300,11.89,7.35,108,169,277
1043,대양전기공업,108380,10.69,6.48,46,233,279
1479,젬백스링크,064800,11.13,6.89,75,207,282
1138,원익,032940,1.09,54.23,4,284,288
1547,LG유플러스,032640,10.99,6.46,56,235,291
1604,지투알,035000,10.45,6.27,37,254,291
1235,고려아연,010130,13.22,8.37,196,95,291
351,우리금융캐피탈,033660,11.9,7.19,110,182,292
1858,농심,004370,12.29,7.5,143,155,298
624,대한유화,006650,11.75,6.93,97,204,301
384,환인제약,016580,13.28,8.21,203,104,307
558,파인디지털,038950,11.94,6.96,115,200,315
2058,이노인스트루먼트,215790,14.73,9.38,282,36,318
2358,오로라,039830,12.61,7.41,157,165,322
225,제주반도체,080220,15.26,9.72,307,18,325
1004,한솔피엔에스,010420,12.01,6.97,130,199,329
2393,지에스이,053050,11.26,6.14,83,265,348
312,금호건설,002990,12.63,6.89,158,206,364
2310,서전기전,189860,12.09,6.53,135,229,364
18,국도화학,007690,10.66,5.54,44,329,373
1233,SNT모티브,064960,13.27,7.27,200,173,373
1398,성도이엔지,037350,0.79,48.53,2,374,376
1691,비덴트,121800,13.29,7.25,204,174,378
88,현대엘리베이터,017800,16.77,9.78,366,15,381
1025,SNK,950180,12.95,6.86,173,208,381
184,엑세스바이오,950130,15.75,89.16,323,62,385
682,조선선재,120030,14.63,8.09,272,114,386
1,DSR,155660,11.2,5.67,79,314,393
939,두산밥캣,241560,12.01,6.15,131,263,394
612,SK텔레콤,017670,12.77,6.44,163,237,400
460,서호전기,065710,16.48,9.15,358,51,409
1928,한전KPS,051600,15.35,8.23,312,101,413
1802,피씨엘,241820,18.05,91.65,413,2,415
2222,풍산,103140,10.89,5.09,55,362,417
1238,노루페인트,090350,11.28,5.48,84,334,418
1354,넷게임즈,225570,10.8,49.93,52,373,425
529,지니언스,263860,18.18,9.96,421,7,428
1330,KG모빌리언스,046440,17.21,9.16,385,49,434
956,삼양사,145990,11.19,5.06,78,365,443
2334,야스,255440,14.93,7.51,290,154,444
1232,SK하이닉스,000660,18.14,9.53,419,29,448
696,한국석유공업,004090,10.24,4.59,26,422,448
1316,현대리바트,079430,12.32,5.66,145,315,460
1240,대성에너지,117580,10.37,4.55,33,427,460
1906,일양약품,007570,118.12,5.38,124,338,462
299,GS리테일,007070,15.75,7.5,322,156,478
1788,태양,053620,10.39,4.35,36,444,480
1115,에이프로젠 H&G,109960,11.96,5.01,116,370,486
659,송원산업,004430,13.94,6.17,225,261,486
436,메디앙스,014100,11.74,4.95,96,391,487
2280,동일금속,109860,12.17,5.26,139,349,488
221,제우스,079370,16.67,7.81,363,134,497
1813,화신정공,126640,13.2,5.79,194,304,498
1744,오디텍,080520,11.23,4.61,81,421,502
880,파버나인,177830,16.51,7.64,360,146,506
1915,파미셀,005690,197.89,9.65,481,25,506
427,레드캡투어,038390,14.87,6.67,287,220,507
627,도화엔지니어링,002150,15.41,7.0,316,192,508
2201,유수홀딩스,000700,1.87,30.04,12,504,516
138,바디텍메드,206640,12.23,47.04,141,375,516
709,한화에어로스페이스,012450,11.93,4.78,112,405,517
1352,네오오토,212560,11.18,4.37,77,442,519
670,에스엘,005850,11.93,4.74,113,407,520
937,동화약품,000020,19.25,9.04,466,60,526
46,세방전지,004490,14.56,6.13,267,267,534
1308,한독,002390,17.0,7.47,377,161,538
1571,동양철관,008970,18.92,8.41,448,91,539
1088,슈프리마에이치큐,094840,11.81,4.49,103,436,539
69,조흥,002600,13.97,5.72,230,309,539
985,이노션,214320,18.78,8.28,443,99,542
1319,혜인,003010,12.56,4.97,155,388,543
954,삼성전자,005930,21.09,9.98,539,4,543
40,삼성화재해상보험,000810,12.56,4.96,154,390,544
374,한국타이어앤테크놀로지,161390,13.11,5.12,189,357,546
1400,세원물산,024830,2.86,9.28,504,43,547
1897,오리온홀딩스,001800,10.67,3.98,45,506,551
991,참엔지니어링,009310,16.95,7.18,373,184,557
1929,한화시스템,272210,20.4,9.35,520,39,559
1869,동아타이어,282690,10.17,3.69,22,537,559
106,까스텔바작,308100,14.92,6.06,289,273,562
416,대주전자재료,078600,140.54,6.12,293,270,563
2196,영풍제지,006740,16.59,6.94,361,202,563
345,아이마켓코리아,122900,14.59,5.87,268,296,564
1477,제이씨케미칼,137950,18.97,8.03,449,117,566
1345,골든센츄리,900280,2.29,8.68,489,79,568
1249,백광산업,001340,14.68,5.89,275,294,569
677,이마트,139480,11.67,4.05,94,475,569
2159,노루홀딩스,000320,10.54,3.8,39,530,569
5,KG동부제철,016380,17.37,7.18,387,183,570
628,동방아그로,007590,12.97,4.83,175,398,573
1359,다날,064260,18.91,7.87,446,129,575
1378,메가엠디,133750,19.34,8.21,471,105,576
1169,타이거일렉,219130,21.41,9.63,550,27,577
7,KTis,058860,12.13,4.4,137,440,577
1009,한화,000880,12.96,4.79,174,403,577
410,넵튠,217270,13.51,49.96,211,372,583
1418,아즈텍WB,032080,10.8,3.76,51,533,584
2426,하츠,066130,17.77,7.03,395,191,586
2007,아미노로직스,074430,110.4,4.06,120,474,594
922,SNT에너지,100840,12.0,4.07,128,468,596
1631,화승엔터프라이즈,241590,21.44,9.26,553,45,598
2278,도이치모터스,067990,14.56,5.48,266,333,599
1678,멀티캠퍼스,067280,20.41,8.76,522,77,599
1854,고려산업,002140,17.83,6.91,397,205,602
55,오뚜기,007310,19.7,7.93,477,125,602
784,스포츠서울,039670,13.75,4308.4,220,382,602
2234,현대그린푸드,005440,12.03,4.07,133,469,602
1050,디바이스이엔지,187870,11.97,37.44,117,486,603
2269,뉴트리,270870,11.78,30.0,101,505,606
1987,베뉴지,019010,10.39,3.35,34,574,608
150,솔고바이오,043100,13.75,4.91,219,393,612
1076,비에이치아이,083650,14.71,5.4,280,336,616
697,한국수출포장공업,002200,10.58,3.34,41,575,616
1434,에코바이오,038870,20.72,8.42,528,89,617
2153,계양전기,012200,14.7,5.3,279,346,625
1501,팅크웨어,084730,15.09,5.56,301,324,625
1047,덕산하이메탈,077360,19.04,7.28,454,172,626
332,빙그레,005180,16.13,6.01,346,280,626
1581,삼익악기,002450,13.17,4.49,193,435,628
2405,코콤,015710,16.43,6.06,355,275,630
1053,라이온켐텍,171120,18.54,6.99,435,198,633
2397,청담러닝,096240,22.78,9.22,590,47,637
2155,그린케미칼,083420,23.14,9.33,604,40,644
712,휴니드테크놀러지스,005870,14.08,4.86,248,397,645
179,에이디테크놀로지,200710,106.66,3.23,63,583,646
99,YW,051390,13.82,4.55,221,426,647
2401,코렌텍,104540,124.77,4.12,182,466,648
1811,핸디소프트,220180,16.85,6.04,372,277,649
2425,하이비젼시스템,126700,21.11,8.2,542,107,649
1060,메가스터디교육,215200,21.47,8.38,555,94,649
334,사조동아원,008040,14.1,4.74,249,408,657
2139,BYC,001460,13.16,4.12,192,467,659
2380,인터로조,119610,22.22,8.67,579,80,659
828,원풍,008370,14.62,4.89,270,395,665
1237,남해화학,025860,16.29,5.65,350,317,667
1481,줌인터넷,239340,132.69,4.49,234,434,668
319,대원제약,003220,22.27,8.42,581,90,671
1141,유성티엔에스,024800,1.65,22.19,8,663,671
731,넥슨지티,041140,118.15,3.61,125,547,672
1447,와이엠씨,155650,23.48,9.1,617,57,674
567,픽셀플러스,087600,15.26,5.03,306,368,674
2088,케이프,064820,16.34,5.59,353,321,674
1694,비츠로셀,082920,25.15,9.5,651,30,681
2386,제이브이엠,054950,21.81,8.0,563,119,682
936,동국제강,001230,11.9,3.35,111,573,684
2266,녹십자랩셀,144510,233.66,9.12,630,54,684
663,신세계인터내셔날,031430,22.65,8.24,586,100,686
31,롯데정보통신,286940,20.69,7.43,527,163,690
2355,영우디에스피,143540,10.39,22.49,35,659,694
957,삼원강재,023000,12.98,3.84,176,518,694
1611,코웨이,021240,13.25,31.51,197,498,695
2241,휴켐스,069260,21.15,7.51,544,153,697
1702,서린바이오,038070,22.82,8.18,592,112,704
2394,진양제약,007370,22.85,8.17,593,113,706
1144,이루온,065440,18.12,5.97,417,290,707
1257,삼성생명,032830,12.5,3.53,152,557,709
912,KPX홀딩스,092230,1.82,20.0,9,701,710
693,팜스코,036580,14.28,4.21,255,457,712
2361,오파스넷,173130,11.84,29.88,106,607,713
1840,HDC현대EP,089470,15.31,4.79,311,402,713
101,경창산업,024910,18.65,6.01,439,281,720
